Item_Code,Item,All India Item Combined Weight(Base:2012)
6.1.01.3.1.10.0,other cooking/ household appliances,0.00539
6.1.01.3.1.12.0,other durables (specify)….,0.00432
6.1.01.4.1.01.X,stainless steel utensils,0.17955
6.1.01.4.1.02.0,pressure cooker/ pressure pan,0.00023
6.1.01.4.1.03.0,other metal utensils,0.0127
6.1.01.4.1.05.0,other crockery & utensils,0.01247
6.1.01.4.1.06.0,earthenware,0.02858
6.1.01.4.1.07.0,glassware,0.00143
6.1.01.5.1.01.X,"electric bulb, tubelight",0.18174
6.1.01.5.1.02.0,"plugs, switches & other electrical fittings",0.00391
6.1.01.5.1.03.0,electric batteries,0.01063
6.1.01.5.1.04.0,torch,0.04562
6.1.01.5.1.05.0,lock,0.0014
6.1.01.6.1.01.X,"bucket, water bottle/ feeding bottle & other plastic goods",0.06602
6.1.01.6.1.02.0,"coir, rope, etc.",0.0038
6.1.01.6.1.03.0,washing soap/soda/powder,0.86658
6.1.01.6.1.04.0,other washing requisites,0.11649
6.1.01.6.1.05.X,"incense (agarbatti), room freshener",0.2037
6.1.01.6.1.06.0,flower (fresh): all purposes,0.09094
6.1.01.6.1.07.0,"mosquito repellent, insecticide, acid etc.",0.12291
6.1.01.6.1.08.0,matches (box),0.08463
6.1.01.6.1.09.0,candle (no.),0.03267
6.1.01.6.1.10.0,other petty articles,0.15756
6.1.01.7.2.01.X,domestic servant/cook,0.63912
6.1.01.7.2.03.0,sweeper,0.04121
6.1.01.7.2.05.0,Monthly Maintainance charges,0.03951
6.1.01.7.2.07.X,other consumer services excluding conveyance,0.15721
6.1.02.1.2.05.X,hospital & nursing home charges,0.44057
6.1.02.2.1.01.X,medicine (non-institutional),4.01148
6.1.02.2.1.03.X,family planning devices,0.00021
6.1.02.2.1.04.0,spectacles,0.0561
6.1.02.2.2.06.0,other medical expenses (non-institutional),0.11599
6.1.02.2.2.07.0,doctor’s/ surgeon’s fee-first consultation (non-institutional),0.79049
6.1.02.2.2.08.X,"X-ray, ECG, pathological test, etc. (non-institutional)",0.47597
6.1.03.1.1.01.0,"motor car, jeep",0.48053
6.1.03.1.1.02.X,"motor cycle, scooter",0.79266
6.1.03.1.1.03.0,bicycle(without accessories),0.13011
6.1.03.1.1.05.X,tyres & tubes,0.07221
6.1.03.2.1.01.0,petrol for vehicle,2.18697
6.1.03.2.1.02.0,diesel for vehicle,0.148
6.1.03.2.1.03.X,lubricants & other fuels for vehicle,0.05002
6.1.03.2.2.04.0,other conveyance expenses,0.00985
6.1.03.3.2.01.X,railway fare,0.18495
6.1.03.3.2.02.0,bus/tram fare,1.36717
6.1.03.3.2.03.X,"taxi, auto-rickshaw fare",0.56825
6.1.03.3.2.04.0,rickshaw (hand drawn & cycle) fare,0.04553
6.1.03.3.2.05.0,horse cart fare,0.00386
6.1.03.3.2.06.0,"school bus, van, etc.",0.24583
6.1.03.3.2.07.0,air fare (normal): economy class(adult),0.07722
6.1.03.3.2.08.0,"steamer, boat fare",0.00043
6.1.03.3.2.09.0,porter charges,0.00199
6.1.03.4.1.01.0,mobile handset,0.13506
6.1.03.5.2.01.0,telephone charges: landline*,0.17064
6.1.03.5.2.02.X,telephone charges: mobile,1.83916
6.1.03.5.2.03.0,internet expenses,0.08004
6.1.04.1.1.01.X,"radio, tape recorder, 2-in-1",0.00345
6.1.04.1.1.02.0,television,0.16209
6.1.04.1.1.03.0,VCR/VCD/DVD player,0.00579
6.1.04.1.1.05.X,camera & photographic equipment,0.003
6.1.04.1.1.06.X,PC/ Laptop/ other peripherals incl. software,0.11073
6.1.04.1.1.07.0,"CD, DVD, audio/video cassette, etc",0.00469
6.1.04.1.1.11.0,goods for recreation and hobbies,0.00156
6.1.04.1.1.12.X,"sports goods, toys, etc.",0.11243
6.1.04.1.1.14.X,"newspapers, periodicals",0.18135
6.1.04.1.2.04.0,photography,0.02008
6.1.04.1.2.08.0,VCD/ DVD hire (incl. instrument),0.0028
6.1.04.2.2.01.0,cinema: new release(normal day),0.1307
6.1.04.2.2.02.0,monthly charges for cable TV connection,0.82005
6.1.04.2.2.04.0,library charges,0.00002
6.1.04.2.2.05.0,other entertainment,0.11324
6.1.04.2.2.06.0,club fees,0.00146
6.1.04.2.2.07.0,hotel lodging charges,0.00904
6.1.05.1.1.02.X,"books, journals: first hand",0.55902
6.1.05.1.1.04.X,"stationery, photocopying charges",0.388
6.1.05.2.2.01.X,"tuition and other fees (school, college, etc.)",2.89814
6.1.05.2.2.02.X,private tutor/ coaching centre,0.57665
6.1.05.2.2.03.0,other educational expenses (incl. fees for enrollment in web-based training),0.04018
6.1.06.1.1.01.0,toilet soap,0.63817
6.1.06.1.1.02.X,"toothpaste, toothbrush, comb, etc.",0.35605
6.1.06.1.1.03.X,"powder, snow, cream, lotion and perfume",0.39324
6.1.06.1.1.04.X,"hair oil, shampoo, hair cream",0.45016
6.1.06.1.1.05.X,"shaving blades, shaving stick, razor",0.09756
6.1.06.1.1.06.X,"shaving cream, aftershave lotion",0.04408
6.1.06.1.1.07.0,sanitary napkins,0.08921
6.1.06.1.1.09.X,"clock, watch",0.00017
6.1.06.1.1.10.X,"suitcase, trunk, box, handbag and other travel goods",0.00161
6.1.06.1.1.11.X,"umbrella, raincoat",0.06197
6.1.06.1.1.12.X,lighter (bidi/ cigarette/ gas stove),0.00029
6.1.06.1.1.14.X,any other personal goods,0.00003
6.1.06.2.1.01.0,gold,1.08035
6.1.06.2.1.02.0,silver,0.11175
6.1.06.2.1.04.0,other ornaments,0.01157
6.1.06.3.2.01.X,"barber, beautician, etc.",0.5517
